"ride_id","rideable_type","started_at","ended_at","member_casual","ride_length_seconds","ride_length","day_of_week"
"FCD70524F461540B","classic_bike",2022-01-29 19:35:43,2022-01-30 20:35:36,"member",89993,"24:59:53",7
"FC9E4FDC5D8F0E5A","classic_bike",2022-01-22 21:05:11,2022-01-23 22:05:05,"casual",89994,"24:59:54",7
"F58BEEE9B2DF61F2","classic_bike",2022-01-27 17:08:48,2022-01-28 18:09:09,"casual",90021,"25:00:21",5
"F34763025262EB40","docked_bike",2022-01-17 12:28:58,2022-01-25 17:46:39,"casual",710261,"197:17:41",2
"F07367AA8E4C65AA","classic_bike",2022-01-06 15:25:07,2022-01-07 16:24:55,"member",89988,"24:59:48",5
"EE7841573FA46BA9","classic_bike",2022-01-14 02:08:17,2022-01-15 03:08:07,"casual",89990,"24:59:50",6
"EC95E944A04EA3A0","docked_bike",2022-01-12 13:03:52,2022-01-15 07:10:08,"casual",237976,"66:06:16",4
"EC086956BF00D6A1","classic_bike",2022-01-22 15:38:05,2022-01-23 16:37:58,"casual",89993,"24:59:53",7
"E47E276B9937F618","classic_bike",2022-01-13 18:39:29,2022-01-14 19:39:24,"casual",89995,"24:59:55",5
"E3E6E780C4CAAC89","classic_bike",2022-01-24 18:27:33,2022-01-25 19:27:28,"casual",89995,"24:59:55",2
"E0B364E5A7BF5B8E","classic_bike",2022-01-10 06:31:44,2022-01-11 07:31:41,"casual",89997,"24:59:57",2
"DF9CA73B021BB8E0","classic_bike",2022-01-23 00:27:52,2022-01-24 01:27:44,"casual",89992,"24:59:52",1
"DF0FB815A1968724","classic_bike",2022-01-12 15:00:57,2022-01-13 16:00:51,"casual",89994,"24:59:54",4
"DD3053F1B81DBAC4","classic_bike",2022-01-23 07:18:30,2022-01-24 08:18:20,"member",89990,"24:59:50",1
"DAF5F3A376B4DFF2","classic_bike",2022-01-03 16:37:56,2022-01-04 17:37:43,"casual",89987,"24:59:47",2
"D365CA42A7EEE1A1","classic_bike",2022-01-21 09:20:39,2022-01-22 10:20:29,"member",89990,"24:59:50",6
"D2D5A5F4D2EB1327","classic_bike",2022-01-14 15:49:00,2022-01-15 16:48:50,"casual",89990,"24:59:50",6
"C7BC2C1AA9B7964B","classic_bike",2022-01-30 14:15:12,2022-01-31 15:15:01,"member",89989,"24:59:49",1
"C728FD76A7BDF597","classic_bike",2022-01-19 02:11:57,2022-01-20 03:11:48,"casual",89991,"24:59:51",4
"C33E2040A805E4EB","classic_bike",2022-01-10 07:10:13,2022-01-11 08:10:07,"member",89994,"24:59:54",2
"C1AB102E01C34020","classic_bike",2022-01-26 16:56:03,2022-01-27 17:55:56,"member",89993,"24:59:53",4
"C196F1CFC009C936","classic_bike",2022-01-23 11:31:23,2022-01-24 12:31:14,"casual",89991,"24:59:51",1
"B8FC115E5CE2BC20","classic_bike",2022-01-11 03:16:03,2022-01-12 04:15:52,"casual",89989,"24:59:49",3
"AF572A09F5BF185F","classic_bike",2022-01-19 00:54:32,2022-01-20 01:54:25,"casual",89993,"24:59:53",4
"AEEE95D9582C3A52","docked_bike",2022-01-02 18:54:03,2022-01-05 09:45:05,"casual",226262,"62:51:02",1
"ADBA545465E45D5D","classic_bike",2022-01-25 07:02:25,2022-01-26 08:02:15,"member",89990,"24:59:50",3
"A9620320A41EF3B3","classic_bike",2022-01-11 17:34:34,2022-01-12 18:34:26,"member",89992,"24:59:52",3
"A8FA8F076CCD7B72","docked_bike",2022-01-28 12:03:04,2022-01-29 13:03:06,"casual",90002,"25:00:02",6
"9A097E83D8E1D58B","docked_bike",2022-01-12 15:59:29,2022-01-14 15:17:38,"casual",170289,"47:18:09",4
"9A023CE417E12008","classic_bike",2022-01-14 01:56:05,2022-01-15 02:56:01,"casual",89996,"24:59:56",6
"94696E127B0B5C2E","classic_bike",2022-01-01 09:22:49,2022-01-02 10:22:44,"member",89995,"24:59:55",7
"92F0EB6F085D8EC4","docked_bike",2022-01-12 14:21:21,2022-01-13 17:17:09,"casual",96948,"26:55:48",4
