"ride_id","rideable_type","started_at","ended_at","member_casual","ride_length_seconds","ride_length","day_of_week","Extra_Hours"
"FCD70524F461540B","classic_bike",2022-01-29 19:35:43,2022-01-30 20:35:36,"member",89993,"24:59:53",7,3593
"FC9E4FDC5D8F0E5A","classic_bike",2022-01-22 21:05:11,2022-01-23 22:05:05,"casual",89994,"24:59:54",7,3594
"F58BEEE9B2DF61F2","classic_bike",2022-01-27 17:08:48,2022-01-28 18:09:09,"casual",90021,"25:00:21",5,3621
"F34763025262EB40","docked_bike",2022-01-17 12:28:58,2022-01-25 17:46:39,"casual",710261,"197:17:41",2,623861
"F07367AA8E4C65AA","classic_bike",2022-01-06 15:25:07,2022-01-07 16:24:55,"member",89988,"24:59:48",5,3588
"EE7841573FA46BA9","classic_bike",2022-01-14 02:08:17,2022-01-15 03:08:07,"casual",89990,"24:59:50",6,3590
"EC95E944A04EA3A0","docked_bike",2022-01-12 13:03:52,2022-01-15 07:10:08,"casual",237976,"66:06:16",4,151576
"EC086956BF00D6A1","classic_bike",2022-01-22 15:38:05,2022-01-23 16:37:58,"casual",89993,"24:59:53",7,3593
"E47E276B9937F618","classic_bike",2022-01-13 18:39:29,2022-01-14 19:39:24,"casual",89995,"24:59:55",5,3595
"E3E6E780C4CAAC89","classic_bike",2022-01-24 18:27:33,2022-01-25 19:27:28,"casual",89995,"24:59:55",2,3595
"E0B364E5A7BF5B8E","classic_bike",2022-01-10 06:31:44,2022-01-11 07:31:41,"casual",89997,"24:59:57",2,3597
"DF9CA73B021BB8E0","classic_bike",2022-01-23 00:27:52,2022-01-24 01:27:44,"casual",89992,"24:59:52",1,3592
"DF0FB815A1968724","classic_bike",2022-01-12 15:00:57,2022-01-13 16:00:51,"casual",89994,"24:59:54",4,3594
"DD3053F1B81DBAC4","classic_bike",2022-01-23 07:18:30,2022-01-24 08:18:20,"member",89990,"24:59:50",1,3590
"DAF5F3A376B4DFF2","classic_bike",2022-01-03 16:37:56,2022-01-04 17:37:43,"casual",89987,"24:59:47",2,3587
"D365CA42A7EEE1A1","classic_bike",2022-01-21 09:20:39,2022-01-22 10:20:29,"member",89990,"24:59:50",6,3590
"D2D5A5F4D2EB1327","classic_bike",2022-01-14 15:49:00,2022-01-15 16:48:50,"casual",89990,"24:59:50",6,3590
"C7BC2C1AA9B7964B","classic_bike",2022-01-30 14:15:12,2022-01-31 15:15:01,"member",89989,"24:59:49",1,3589
"C728FD76A7BDF597","classic_bike",2022-01-19 02:11:57,2022-01-20 03:11:48,"casual",89991,"24:59:51",4,3591
"C33E2040A805E4EB","classic_bike",2022-01-10 07:10:13,2022-01-11 08:10:07,"member",89994,"24:59:54",2,3594
"C1AB102E01C34020","classic_bike",2022-01-26 16:56:03,2022-01-27 17:55:56,"member",89993,"24:59:53",4,3593
"C196F1CFC009C936","classic_bike",2022-01-23 11:31:23,2022-01-24 12:31:14,"casual",89991,"24:59:51",1,3591
"B8FC115E5CE2BC20","classic_bike",2022-01-11 03:16:03,2022-01-12 04:15:52,"casual",89989,"24:59:49",3,3589
"AF572A09F5BF185F","classic_bike",2022-01-19 00:54:32,2022-01-20 01:54:25,"casual",89993,"24:59:53",4,3593
"AEEE95D9582C3A52","docked_bike",2022-01-02 18:54:03,2022-01-05 09:45:05,"casual",226262,"62:51:02",1,139862
"ADBA545465E45D5D","classic_bike",2022-01-25 07:02:25,2022-01-26 08:02:15,"member",89990,"24:59:50",3,3590
"A9620320A41EF3B3","classic_bike",2022-01-11 17:34:34,2022-01-12 18:34:26,"member",89992,"24:59:52",3,3592
"A8FA8F076CCD7B72","docked_bike",2022-01-28 12:03:04,2022-01-29 13:03:06,"casual",90002,"25:00:02",6,3602
"9A097E83D8E1D58B","docked_bike",2022-01-12 15:59:29,2022-01-14 15:17:38,"casual",170289,"47:18:09",4,83889
"9A023CE417E12008","classic_bike",2022-01-14 01:56:05,2022-01-15 02:56:01,"casual",89996,"24:59:56",6,3596
"94696E127B0B5C2E","classic_bike",2022-01-01 09:22:49,2022-01-02 10:22:44,"member",89995,"24:59:55",7,3595
"92F0EB6F085D8EC4","docked_bike",2022-01-12 14:21:21,2022-01-13 17:17:09,"casual",96948,"26:55:48",4,10548
"8D180A8F80091E7C","classic_bike",2022-01-14 15:50:20,2022-01-15 16:50:01,"casual",89981,"24:59:41",6,3581
"81F3141973924C8C","docked_bike",2022-01-12 15:58:21,2022-01-19 11:57:25,"casual",590344,"163:59:04",4,503944
"80BDA7C7217169F6","classic_bike",2022-01-18 19:54:24,2022-01-19 20:54:17,"casual",89993,"24:59:53",3,3593
"7FC9773EF416E4A3","classic_bike",2022-01-03 20:05:55,2022-01-04 21:05:50,"casual",89995,"24:59:55",2,3595
"7E1769DB5ED5302D","classic_bike",2022-01-28 10:03:43,2022-01-29 10:40:51,"casual",88628,"24:37:08",6,2228
"7DEA5FF77EEE663C","classic_bike",2022-01-09 02:00:20,2022-01-10 03:00:17,"casual",89997,"24:59:57",1,3597
"7B921D54094B6FD0","classic_bike",2022-01-16 11:50:22,2022-01-17 12:50:14,"casual",89992,"24:59:52",1,3592
"79A2759899446DFA","classic_bike",2022-01-30 04:30:14,2022-01-31 05:30:09,"member",89995,"24:59:55",1,3595
"798B1891F9C942AC","classic_bike",2022-01-26 16:27:36,2022-01-27 17:27:18,"casual",89982,"24:59:42",4,3582
"763306F7310C7D62","classic_bike",2022-01-19 09:34:58,2022-01-20 10:34:52,"member",89994,"24:59:54",4,3594
"75B575F78EC8BA7A","docked_bike",2022-01-10 16:20:31,2022-01-12 09:38:15,"casual",148664,"41:17:44",2,62264
"7395B9B8642CD785","docked_bike",2022-01-22 11:04:55,2022-01-23 11:45:18,"casual",88823,"24:40:23",7,2423
"71BDCF5D330D8CA0","docked_bike",2022-01-09 22:41:14,2022-01-10 23:41:15,"casual",90001,"25:00:01",1,3601
"6C5F1A5A1C51BE79","docked_bike",2022-01-22 11:55:07,2022-01-23 12:34:20,"casual",88753,"24:39:13",7,2353
"6C05E25B083BCA23","classic_bike",2022-01-15 15:10:21,2022-01-16 16:10:14,"casual",89993,"24:59:53",7,3593
"6AC06668BD413A3A","classic_bike",2022-01-25 11:27:29,2022-01-26 12:27:20,"casual",89991,"24:59:51",3,3591
"624C90A2DB72E178","classic_bike",2022-01-19 19:22:24,2022-01-20 19:23:53,"casual",86489,"24:01:29",4,89
"5EE2D7C533CCC17B","docked_bike",2022-01-06 19:07:45,2022-01-25 14:30:33,"casual",1624968,"451:22:48",5,1538568
"5C72F80B089C683B","classic_bike",2022-01-22 14:35:50,2022-01-23 15:35:39,"casual",89989,"24:59:49",7,3589
"5AA216F2E2138811","docked_bike",2022-01-13 17:44:13,2022-01-23 15:02:19,"casual",854286,"237:18:06",5,767886
"578BA30BA1348F18","docked_bike",2022-01-01 01:00:05,2022-01-21 08:51:11,"casual",1756266,"487:51:06",7,1669866
"5679434466A48868","docked_bike",2022-01-01 01:23:25,2022-01-19 10:02:17,"casual",1586332,"440:38:52",7,1499932
"51B8321CBC49C5B7","classic_bike",2022-01-23 14:06:45,2022-01-24 15:06:37,"casual",89992,"24:59:52",1,3592
"4A4EB35340B2096A","classic_bike",2022-01-18 14:17:15,2022-01-19 15:17:11,"casual",89996,"24:59:56",3,3596
"4A1394CD127314E2","classic_bike",2022-01-08 20:08:00,2022-01-09 21:07:55,"casual",89995,"24:59:55",7,3595
"49B1D6A3339EECA9","docked_bike",2022-01-14 08:44:38,2022-01-16 19:27:45,"casual",211387,"58:43:07",6,124987
"47E141C868930014","classic_bike",2022-01-29 18:44:46,2022-01-30 19:44:42,"member",89996,"24:59:56",7,3596
"44BA6450D101D20A","classic_bike",2022-01-29 17:52:46,2022-01-30 18:52:39,"casual",89993,"24:59:53",7,3593
"3DBF3BCF515DA5B5","classic_bike",2022-01-13 12:56:51,2022-01-14 13:56:41,"member",89990,"24:59:50",5,3590
"365DCEAA0983EA22","classic_bike",2022-01-25 08:25:13,2022-01-26 09:25:08,"member",89995,"24:59:55",3,3595
"3500DE173D629003","docked_bike",2022-01-14 14:27:29,2022-01-15 15:27:31,"casual",90002,"25:00:02",6,3602
