"all_trips$member_casual","all_trips$day_of_week","all_trips$ride_length_seconds","all_trips$ride_length_time"
"casual",1,1499.27940782422,"00:24:59"
"member",1,820.53577489674,"00:13:41"
"casual",2,1340.29404229677,"00:22:20"
"member",2,718.49438240235,"00:11:58"
"casual",3,1174.80692264446,"00:19:35"
"member",3,707.835319802202,"00:11:48"
"casual",4,1130.84966444423,"00:18:51"
"member",4,709.422650061382,"00:11:49"
"casual",5,1169.99685516259,"00:19:30"
"member",5,719.490819369617,"00:11:59"
"casual",6,1229.60875618256,"00:20:30"
"member",6,732.743996059831,"00:12:13"
"casual",7,1470.21940063359,"00:24:30"
"member",7,827.069178089919,"00:13:47"
